country,n,gratitude,hope,love,inspiration,serenity,fear,anger,sadness,stress,distrust,loneliness,socialconnected
Greece - GRC,136,3.786764706,3.555555556,3.823529412,3.352941176,3.311111111,2.259259259,2.316176471,2.272058824,2.941176471,1.97761194,2.133333333,3.435323383
Bulgaria - BGR,123,3.694214876,3.081300813,3.699186992,2.780487805,3.113821138,2.155737705,2.048780488,2.106557377,2.601626016,1.796747967,2.173441734,3.169398907
Finland - FIN,122,3.819672131,3.450819672,3.628099174,3.295081967,3.516393443,1.842975207,2.032786885,2.066115702,2.352459016,1.809917355,2.17630854,3.55922865
Colombia - COL,96,4.09375,3.229166667,3.666666667,3.15625,3.229166667,2.3125,2.395833333,2.416666667,2.9375,1.958333333,2.381944444,3.413194444
Argentina - ARG,88,3.827586207,2.818181818,3.613636364,2.738636364,2.931818182,2.170454545,2.75,2.522727273,3.079545455,2.170454545,2.564393939,3.394636015
Serbia - SRB,86,3.372093023,2.755813953,3.674418605,2.720930233,2.709302326,2.348837209,2.697674419,2.38372093,3.223529412,2.26744186,2.746031746,3.364341085
Singapore - SGP,84,3.619047619,2.833333333,3.130952381,2.416666667,3.071428571,2.402439024,2.464285714,2.607142857,2.952380952,1.75,2.623015873,3.12601626
Hong Kong - HKG,82,3.207317073,2.682926829,3.292682927,2.487804878,2.841463415,2.426829268,2.170731707,2.5,3.195121951,1.853658537,2.18699187,3.065843621
Taiwan (Province of China) - TWN,73,3.125,2.835616438,3.095890411,2.397260274,3.054794521,2.069444444,1.875,2.191780822,2.486111111,1.931506849,1.904109589,2.800925926
Iran (Islamic Republic of) - IRN,59,3.275862069,3.068965517,3.120689655,2.75862069,2.896551724,2.086206897,2.677966102,2.810344828,2.896551724,2.423728814,2.643678161,2.954022989
India - IND,51,3.941176471,3.137254902,3.509803922,2.941176471,2.764705882,2.764705882,2.921568627,3,3.450980392,1.882352941,2.692810458,3.450980392
Morocco - MAR,51,3.607843137,3.72,3.607843137,3.274509804,3.62745098,1.62745098,2.117647059,1.745098039,2.039215686,1.568627451,2.19047619,2.91503268
Malaysia - MYS,35,3.857142857,2.828571429,3.4,2.628571429,2.828571429,2.514285714,3.028571429,2.914285714,3.657142857,2.028571429,2.647058824,3
