geography,corrupt_government_yes_2019,corrupt_government_no_2019,corrupt_government_yes_2009,corrupt_government_no_2009,corrupt_bussinesses_yes_2019,corrupt_bussinesses_no_2019,corrupt_bussinesses_yes_2009,corrupt_bussinesses_no_2009,smile_laugh_yes_2019,smile_laugh_no_2019,smile_laugh_yes_2009,smile_laugh_no_2009,rested_yes_2019,rested_no_2019,rested_yes_2009,rested_no_2009,enjoyment_yes_2019,enjoyment_no_2019,enjoyment_yes_2009,enjoyment_no_2009,physical_pain_yes_2019,physical_pain_no_2019,physical_pain_yes_2009,physical_pain_no_2009,worry_yes_2019,worry_no_2019,worry_yes_2009,worry_no_2009,stress_yes_2019,stress_no_2019,stress_yes_2009,stress_no_2009,sadness_yes_2019,sadness_no_2019,sadness_yes_2009,sadness_no_2009,anger_yes_2019,anger_no_2019,anger_yes_2009,anger_no_2009,stranger_return_bag_very_likely_2019,stranger_return_bag_somewhat_likely_2019,stranger_return_bag_not_likely_at_all_2019,police_return_bag_very_likely_2019,police_return_bag_somewhat_likely_2019,police_return_bag_not_likely_at_all_2019,neighbor_return_bag_very_likely_2019,neighbor_return_bag_somewhat_likely_2019,neighbor_return_bag_not_likely_at_all_2019,positive_index_2019,positive_index_2010,negative_index_2019,negative_index_2010,mean_empathic_concern,mean_perspective_taking,mean_total_empathy,patience,risktaking,posrecip,negrecip,altruism,trust,intentions,social,temp,precip,distcr,kgatrstr,western,wb_ssa,wb_mena,wb_eca,wb_sas,wb_eap,wb_nam,wb_lac,reli_b_prot_2000,rugged,ctfp_ave,ln_total_conflicts_prio,abslat,ln_patents_ave,lngdp_ave,mean_prediction_ftr,island,geo_conditions,bio_conditions,hfs_idv,CSIPost1500Ex_aa,ASIPost1500Ex_aa,wvs_important_risk,wvs_important_serve_society,wvs_trust,wvs_child_save,family_ties_pca,nopndrop_wals_w,volunteering_gdp,hofstede_lto,hofstede_idv,hofstede_uai,ln_articles,europe_west,europe_east,cpi_score_2012,cpi_score_2013,cpi_score_2014,cpi_score_2015,cpi_score_2016,cpi_score_2017,cpi_score_2018,cpi_score_2019
El Salvador,0.5123444666925981,0.38143286134032467,0.5196463146603799,0.32840033463013346,0.6880958209130045,0.20856567802272993,0.5838274207162509,0.3058298736850009,0.889936869304758,0.10181531836277291,0.8683781948438964,0.11469556648068194,0.7825208682318846,0.21060371767382635,0.7917204494734086,0.18942709141976563,0.8397369852039432,0.15491522432184418,0.8198955346694377,0.15775309960069048,0.3946353708917672,0.6040893756591746,0.3038409767109491,0.6762173153948073,0.40427963402550177,0.5948603404435532,0.36396499291350365,0.618046034640295,0.45819373090312665,0.5390656572519603,0.2962645395013977,0.6889667962441705,0.29120609441112066,0.7040918659769538,0.19491440747947059,0.7858236494378833,0.12565431450954148,0.8673738149901555,0.16989440756782526,0.8108959469727037,0.053246912366132285,0.1550407507181001,0.7709649374365867,0.26967281559948286,0.3127428740995932,0.3805600632433414,0.3011363332317494,0.34501136290247,0.33363501062072654,84.35076058832432,81.42816633499281,33.47938289482133,30.354445416956274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,38,39,39,36,33,35,34
Estonia,0.42470397640772545,0.22443483492680558,0.5822288264757919,0.12113284993848533,0.34763463994930405,0.28980548041648957,0.5211184900695495,0.16424603761514459,0.7216001529624516,0.22030839132737015,0.5390233969535441,0.3802984708065002,0.6620940808835496,0.31823638806204974,0.5767822281312821,0.39361209973311995,0.8061314800961913,0.16002965330659666,0.6639726450985584,0.282741465071507,0.19514845238625206,0.7953733627929938,0.20305488643893277,0.7811733235539485,0.25715573868716973,0.7239100334145576,0.3386207479752001,0.6403357947334081,0.19898601145510267,0.7723261388654373,0.18776376737863207,0.7685678855980305,0.1410702754089587,0.838936974990661,0.2386675254910314,0.7254730291561569,0.06941418484695762,0.8976394524703928,0.13724619119833978,0.8342343942128944,0.06227770432705986,0.35135368527972927,0.42945779901570813,0.6172927681862646,0.29538698001102764,0.04930364378314665,0.4941541832157549,0.3531736846577079,0.08878580843404188,72.95330562575073,NA,17.23549325568975,NA,3.18,3.36,3.27,0.025314416736364365,-0.2954334318637848,-0.49283143877983093,-0.2217399924993515,-0.5666890144348145,0.08612611889839172,5.62982702255249,-0.45029816031455994,5.294450759887695,52.44486618041992,0.08404039591550827,0,0,0,0,1,0,0,0,0,0.172,0.12262831864498448,0.6260272860527039,2.8332133293151855,59.41666793823242,3.8110971450805664,9.2107696533203125,0.32750868797302246,0,NA,NA,60,3369.396240234375,1397.98095703125,1.8376407623291016,2.8081278800964355,0.32329317927360535,0.583790123462677,-0.3562557101249695,0.27528146882832516,NA,82,60,60,0.12537622451782227,0,1,64,68,69,70,70,71,73,74
Eswatini,0.5466525619964063,0.28420009881365893,NA,NA,0.6397035115480947,0.199947000866107,NA,NA,0.7771631707260225,0.2172504242474091,NA,NA,0.668586903239931,0.32687496769747393,NA,NA,0.7699448671534678,0.2274111863943236,NA,NA,0.37203976233204805,0.627411781898961,NA,NA,0.35070193615752826,0.6470370368825941,NA,NA,0.292982478347338,0.703365329694562,NA,NA,0.27986413649027375,0.7198520670178016,NA,NA,0.20641870893075065,0.7892431515391435,NA,NA,0.06863046981953559,0.14426163419420399,0.763825748112497,0.5237302118108224,0.20347385796321688,0.23748293842197424,0.26284036733353106,0.27124184653685796,0.4409534610699725,74.63124098849748,NA,30.040140445157782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,39,43,NA,NA,39,38,34
Ethiopia,0.586422065776424,0.2793039831486593,NA,NA,0.6935257875980486,0.20225490952832578,NA,NA,0.6411762878899062,0.3567024452938828,NA,NA,0.5288367787684579,0.4697156463837449,NA,NA,0.6144256725166695,0.38233849459538216,NA,NA,0.24801382818405232,0.7519861718159477,NA,NA,0.33315880962695055,0.6660012942045854,NA,NA,0.2907183721360819,0.7044974233944926,NA,NA,0.24944836278706953,0.7505516372129305,NA,NA,0.26657598645640596,0.7334240135435941,NA,NA,0.03864721892174385,0.18067642387196525,0.759444824512872,0.2920467836582481,0.3377106068758729,0.3283708639045895,0.2986350742980719,0.38428870493127854,0.3057116033049145,53.62408799642076,NA,27.758307183811198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,33,33,34,35,34,37
Finland,0.17349060016404372,0.7607397749882397,NA,NA,0.1885173336266756,0.7616008067042757,NA,NA,0.7561131739554625,0.24042737733366723,NA,NA,0.698008447133874,0.30002437587199426,NA,NA,0.7495035593412593,0.2466918714143158,NA,NA,0.22780990371994964,0.7721900962800504,NA,NA,0.3455909566441986,0.6495217605381709,NA,NA,0.3393519393477343,0.65762959330272,NA,NA,0.14184141113486723,0.8559234164217736,NA,NA,0.052694276823986225,0.9457782186955899,NA,NA,0.10184410068411985,0.6088160139830369,0.27631130605786225,0.8974868963557443,0.08359543803594617,0.014851233240290477,0.7854186717610754,0.18697575823013224,0.027605570008792272,76.3385969433684,76.83713973814571,22.145769753414683,23.44704938036462,3.24,3.42,3.33,0.599554181098938,-0.2827601432800293,0.08859659731388092,-0.13623562455177307,-0.2500971853733063,0.09990701079368591,5.6676177978515625,-0.02885744534432888,1.0262134075164795,46.18288040161133,0.18166999518871307,0,0,0,0,1,0,0,0,0,0.851,0.3276550134077371,0.8866402506828308,2.3025851249694824,60.13333511352539,7.502020835876465,10.524913787841797,0,0,1.6514999866485596,1.3883999586105347,63,2036.95361328125,728.50225830078125,1.74728524684906,NA,0.5497967600822449,0.27986007928848267,-0.6560000777244568,0.9836831836437341,2.430000066757202,38,63,59,0.5319303274154663,1,0,90,89,89,90,89,85,85,86
France,0.5343021102155915,0.3659251397868586,0.5031366862437161,0.26770790052965293,0.48275611995327333,0.4025546149026113,0.48868266202734495,0.26750113648403345,0.7484763539487768,0.2515236460512233,0.766520798685504,0.22715126891881307,0.6331209897026676,0.36067915602013667,0.6399275679653175,0.3584092560311282,0.720549010377262,0.2776742268077496,0.7416195876416436,0.2535209820480561,0.28424180280061034,0.7146544517075925,0.3589767066151481,0.6392513872375061,0.3610228521841165,0.63854574197634,0.3791493967831296,0.619476847845415,0.38817060355836885,0.6107459964346331,0.36268694352534475,0.6359305956275176,0.2393497480745149,0.7606502519254852,0.22431305721739128,0.7750175952438042,0.15079551654361315,0.8482172031711008,0.30612048825241894,0.6938795117475811,0.09586743160372602,0.36895495347903534,0.4949524561704306,0.6877254031000166,0.2596714037221081,0.028295812694839283,0.5681246635289474,0.3065905036688791,0.09247882402515692,72.25124412541916,75.87760902191451,28.471610463224472,28.373610634857933,3.6,3.5,3.55,0.3568710684776306,-0.03010464459657669,-0.12234953045845032,0.5280535221099854,-0.17471100389957428,-0.16548220813274384,4.939846515655518,-0.21162904798984528,10.526460647583008,71.41477966308594,0.0537244975566864,0,0,0,0,1,0,0,0,0,0.008,1.0976835192383132,0.9206990003585815,3.2188758850097656,48.86666488647461,9.575122833251953,10.426041603088379,1,0,1.7160999774932861,1.3883999586105347,71,4258.86767578125,1801.77001953125,1.9085427522659302,NA,0.1867469847202301,0.42757242918014526,NA,0.9300710558891296,3.2100000381469727,63,71,86,0.36789292097091675,1,0,71,71,69,70,69,70,72,69
Gabon,0.6891044093931789,0.13984017321004644,NA,NA,0.7583329031535629,0.1313851804709975,NA,NA,0.7414462576725083,0.2460150830143674,NA,NA,0.6570378632272011,0.3420349256743248,NA,NA,0.6313109737479726,0.3646744461800809,NA,NA,0.4132644659207198,0.5856039503299425,NA,NA,0.5031212936075401,0.4940721237638687,NA,NA,0.3286646812592816,0.6658942670971054,NA,NA,0.39985362788450546,0.5959151805755524,NA,NA,0.3349694247305223,0.6593583646443278,NA,NA,0.07000611153090831,0.16692968922540868,0.7402166317294792,0.27842919381885717,0.29032812102329403,0.39914685042364567,0.192420437425912,0.3523654579384879,0.41884612037886465,67.86982201275109,NA,39.597469868050844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,34,37,34,35,32,31,31
Gambia,0.5621187672016106,0.16646656503374022,NA,NA,0.6595444946356533,0.14900914006993285,NA,NA,0.833891892585946,0.16232572490280386,NA,NA,0.6537449065234042,0.34441102592083483,NA,NA,0.7064910393943646,0.28972684572256413,NA,NA,0.5933710589575766,0.40587946310361184,NA,NA,0.5149632151393783,0.483735622490324,NA,NA,0.3989274825095044,0.5986686404928783,NA,NA,0.4162102015107832,0.582927966612607,NA,NA,0.26895678498321834,0.7310432150167817,NA,NA,0.12801861911980894,0.3206184468384113,0.47762058795652074,0.47612908116540725,0.3122426577634206,0.15103605320079846,0.4606973821377183,0.3681697421718888,0.1316198343183944,74.19769113882916,NA,43.84857486201015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,28,29,28,26,30,37,37
Georgia,0.43487308614387876,0.22539371029279215,0.3884690316579103,0.3043453770699938,0.42024449303821976,0.2286769819161761,0.3695347031277266,0.3433423828045685,0.6125792361987343,0.3695230129868742,0.4212375986870102,0.5038889653592393,0.5658862804440741,0.4280927072075188,0.4827928849528826,0.5080967528088174,0.5697777322401237,0.4115666207018949,0.48870015234382136,0.48204721045566684,0.32465230505277093,0.6723654662784987,0.2734741835333346,0.7159226368837271,0.27366487950398194,0.7216460770201227,0.27496612922690183,0.7149684533897513,0.20417096558540482,0.7867961113140401,0.16840170503477528,0.8209255542898909,0.1826490233027453,0.8131913827628555,0.19061470475381068,0.7969973816054058,0.27177669656408254,0.7240666401580235,0.25247086438723065,0.7295785101285075,0.06581509630251571,0.40573518000756736,0.426403024689685,0.48810760539194487,0.3434040023138282,0.09606432278779022,0.42309429948399185,0.4313812926693681,0.09181438503111891,59.74093798018314,50.5843143492547,25.13827740017979,22.772402942955125,NA,NA,NA,-0.4854279160499573,-0.08132492005825043,0.5627527236938477,-0.2543642222881317,0.6278199553489685,-0.20484574139118195,4.8319010734558105,0.465471088886261,7.3989996910095215,87.02828216552734,0.24033299088478088,0,0,0,0,1,0,0,0,0,0.005,3.6587020562054966,NA,2.6390573978424072,41.71666717529297,5.342812538146973,7.3235931396484375,1,0,1.2575000524520874,1.3883999586105347,NA,4239.4384765625,1651.9378662109375,2.070049285888672,3.978224515914917,0.15951594710350037,0.2917197346687317,0.12698757648468018,0.08546922635287046,NA,NA,NA,NA,0.019536660984158516,0,1,52,49,52,52,57,56,58,56
Germany,0.35938697420802845,0.49037207560213747,0.46542171811607796,0.3832904648902375,0.4128750909254129,0.45158072426949786,0.6939800987355896,0.2235920637690851,0.7281533015579168,0.2679025813258655,0.7616177461442677,0.22775358196496684,0.6728860817172431,0.3247167261104931,0.6656707046567838,0.32852194594011025,0.7704783499018244,0.2290330350592223,0.7520394522602866,0.24479632815301688,0.22611021015369254,0.7738897898463075,0.20535275990415208,0.7908237279955663,0.2899193198001098,0.7100806801998901,0.3053708877919265,0.6911865573729378,0.33144430997004837,0.667987283795314,0.4060436836103384,0.5925725719728838,0.21914499948078378,0.7803663854802628,0.17952034251212098,0.8181115447340456,0.16937505484297596,0.829576483569862,0.17073254515447325,0.8263624845820062,0.08414891656693584,0.5999048332463646,0.29953438249664055,0.8770139291970553,0.09507500147423162,0.026212356809523666,0.7631114144419131,0.15593357204079653,0.0638699163029683,74.84811765269941,74.00347259553463,24.719877884952197,22.9951266826756,3.62,3.6,3.61,0.6243981719017029,-0.04448588192462921,-0.07986503094434738,-0.2942652404308319,-0.05100206658244133,-0.11882252991199493,5.067800521850586,-0.12266281992197037,8.265703201293945,62.540557861328125,0.041169602423906326,0,0,0,0,1,0,0,0,0,0.356,0.5974422675422171,0.856454610824585,2.8332133293151855,51.46699905395508,10.775303840637207,10.445822715759277,0,0,NA,NA,67,4227.42578125,1751.568359375,1.4852832555770874,3.005870819091797,0.3670584261417389,0.4814150631427765,-1.00468111038208,0.9344923159660539,2.559999942779541,83,67,65,0.3562307059764862,1,0,79,78,79,81,81,81,80,80
Ghana,0.8348777019256931,0.11895116949715023,0.8007403263263807,0.09687341542069942,0.785132707328352,0.15363236644315129,0.7806610490522238,0.1034708419215024,0.7940486289939979,0.2023472488451722,0.8240173022406146,0.15530722771184338,0.6844012359356425,0.3146018599836311,0.7427343819905263,0.25684239795685776,0.5663042762380316,0.43197251989062524,0.7059075382529697,0.28587518081604096,0.3674513807492522,0.6297755774042788,0.33908005020335336,0.6536794982138262,0.31073455420386964,0.6889557883377567,0.2310543332133502,0.7612083851413033,0.4952457832632282,0.5009570718447431,0.2338467093581954,0.7546875160371743,0.26458079899642417,0.7330388290452776,0.1927631572402119,0.7970303603695652,0.23090093118239466,0.7670290136293948,0.1634158392071823,0.8253509569766413,0.15244219787935256,0.3364709684833363,0.46560001851488386,0.4579896799105384,0.3074130622764379,0.22217175848136164,0.4357876321401879,0.37769375164927615,0.18005147515182784,68.90458411766662,76.38317687283607,33.37826896790343,23.421787309011275,NA,NA,NA,0.0846189633011818,0.618450403213501,-0.22070853412151337,-0.07418406754732132,0.11105220764875412,-0.19801777601242065,4.850625038146973,-0.14808684587478638,27.243993759155273,100.88945770263672,0.27757102251052856,0.8288804888725281,0,1,0,0,0,0,0,0,0.178,0.22754921090124092,NA,1.3862943649291992,5.550000190734863,NA,6.252575874328613,1,0,-0.7473999857902527,-0.8167999982833862,15,3613.291259765625,1652.9110107421875,3.254159927368164,4.202963829040527,0.06722962111234665,0.21386907994747162,NA,0.354345278814435,NA,4,15,65,0.0034007015638053417,0,0,45,46,48,47,43,40,41,41
Greece,0.6708731905981886,0.1464658983500806,0.9135426419580104,0.03420362696543426,0.7118081515330728,0.12916968167565082,0.8422483303331617,0.04080687774407671,0.658517789467225,0.3410007270335949,0.7028672501380838,0.29340164008228803,0.539028696710454,0.46065859957530025,0.5764817141407589,0.4228998424573745,0.6744492462972467,0.32275624448362966,0.7394093989773033,0.2586688318092647,0.3221744089422614,0.6778255910577385,0.28454820616938836,0.7151425721296784,0.4163815251120151,0.5826047221050044,0.42398529725747364,0.5748787099642062,0.6451859047750995,0.3548140952249005,0.2587955138930481,0.7397314779786106,0.164001236919055,0.8344693278133811,0.18800767129430715,0.8103540361412919,0.12819031932156658,0.8700070236338305,0.15041319281988422,0.8440588056801158,0.01649834454312133,0.3241433243418654,0.6232968413075698,0.6111765870778557,0.296629976759386,0.0855147397824466,0.30132459061157546,0.48703529005172325,0.19456627802639928,62.525424847367326,64.89159367814638,33.51866790139988,34.24901864914438,3.62,3.64,3.63,-0.3600853979587555,-0.15707357227802277,-0.0437733493745327,0.4293229877948761,-0.1728164255619049,-0.35150548815727234,4.429718971252441,-0.27536022663116455,14.758134841918945,58.98445129394531,0.0411515012383461,0,0,0,0,1,0,0,0,0,0.001,3.1025820788253653,0.7985777258872986,2.3025851249694824,38,6.324557781219482,9.97702407836914,1,0,1.482100009918213,1.3883999586105347,35,3596.592529296875,1458.629638671875,NA,NA,NA,NA,NA,7.287302287295461e-4,NA,45,35,100,0.1570495367050171,0,1,36,40,43,46,44,48,45,48
Guatemala,0.7318501379759356,0.20755364397253717,0.7536768282873832,0.16620601179708547,0.720730789745303,0.2194575287839948,0.6563998319030383,0.28301450430531444,0.8754357445031491,0.11156396007946001,0.8680862310757413,0.11802546531835424,0.7949659762488717,0.196926120785247,0.747004977292941,0.23158600643637403,0.8198858449944909,0.16898783387798497,0.7683891659864118,0.20647182239962353,0.3477215509188479,0.6476843640555713,0.272323854874428,0.7154322540664217,0.46244462951003745,0.5278047709573104,0.3416084233138021,0.6481123321366726,0.42713515206875047,0.5628020499705438,0.22586998623968943,0.7535506255059526,0.2949000979203655,0.6900659914717601,0.17388138992541233,0.8111400483882392,0.16448177294619873,0.8268028291665206,0.199269197006155,0.7899878424999119,0.07688716552911506,0.13329272434594566,0.7572020549522441,0.2359925016588897,0.2321965112415236,0.4877994346798879,0.29516707551218996,0.304685249593545,0.3645531186677414,83.55984796851465,81.9765983750345,33.933664067283985,25.154033348089627,NA,NA,NA,-0.2572553753852844,-0.21859027445316315,-0.06493174284696579,-0.4893120229244232,-0.13400402665138245,-0.362962931394577,4.398299217224121,-0.2609653174877167,23.989913940429688,173.66358947753906,0.10489499568939209,0.6750174164772034,0,0,0,0,0,0,0,1,0.09,1.80738051814205,0.6704416871070862,0,14.633333206176758,2.292534828186035,7.6933369636535645,1,0,-0.391400009393692,-0.7791000008583069,6,3363.659912109375,1608.800048828125,NA,NA,0.15678392350673676,0.38600000739097595,NA,9.222257067449391e-4,NA,NA,6,99,0.0021147544030100107,0,0,33,29,32,28,28,28,27,26
Guinea,0.6605442864733202,0.20180310710875005,NA,NA,0.635274829208973,0.21093544533601713,NA,NA,0.754231851804437,0.2413352207215853,NA,NA,0.7006576937998255,0.2987280765066903,NA,NA,0.6009962573239724,0.38100574358433104,NA,NA,0.5279403049774729,0.4664954988970812,NA,NA,0.6361975936501914,0.35968776056497426,NA,NA,0.41573506346585914,0.5263617293489844,NA,NA,0.4670103092701639,0.511187323425197,NA,NA,0.29843226779201903,0.694450304681779,NA,NA,0.1593919918119379,0.19227250269298024,0.5902635636942337,0.30554180408122733,0.23464848237734182,0.38686814889597493,0.4434288508049013,0.2989838490672431,0.21088099400778548,70.98420551957827,NA,46.906310783114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,25,25,27,27,28,29
Honduras,0.7150375816970771,0.18364484895629649,0.8330913182761297,0.10519867061733358,0.7523433080889252,0.16156352468428956,0.7693264683309865,0.1586204292118942,0.8404794333029975,0.15309255743038955,0.810329780492256,0.17954201599611544,0.7466863639093144,0.2523968425567188,0.7767084191701701,0.20917362557103958,0.8511068632562645,0.14621512635608155,0.7389075370631224,0.24236933963317328,0.3247596268450532,0.6752403731549469,0.24785567726340904,0.7428590050193747,0.41568333946741515,0.5843166605325848,0.43290003079495404,0.5639002549144614,0.39599206194915426,0.5978499673368777,0.28892945547161436,0.6985104672217466,0.25080744978952246,0.7480373964265334,0.19925569689031203,0.7898697126872658,0.1700172925971234,0.8280644503721708,0.14373374768212854,0.8494079405013097,0.09431203362060489,0.12306539054806206,0.7631552289509923,0.25245520058248294,0.24805395634362082,0.4695622625664192,0.34205464964252486,0.3129137923381851,0.32476425708273443,81.28457118668979,74.31901327839564,31.145195412965194,25.195189475373866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,26,29,31,30,29,29,26
Hong Kong,0.35579158774091735,0.5182446747736585,0.16945121960068277,0.734516508350882,0.3649759550663193,0.49075766234828483,0.2908304813628755,0.5975454376598064,0.5900135830770595,0.4001922956056076,0.7437173784840743,0.24794272308818774,0.7564903394219604,0.23835487552923246,0.7423324600103682,0.2565637346832405,0.5991192161727721,0.3920728125220507,0.6699617440300615,0.30339815420722743,0.18046253210566998,0.8139191096822757,0.15767827479860946,0.8347823114002124,0.4716095901678654,0.5259993248181143,0.3612013624778103,0.6331248586977594,0.5201692673579893,0.4783617929462881,0.4801659268366335,0.511924039337596,0.23816130298502922,0.7541909613311716,0.11608532769875735,0.8742369078184236,0.364449315938383,0.630352946442673,0.14996331131991422,0.8462553618107576,0.021960027367663486,0.4606105675497869,0.49618663277693675,0.2900892299449519,0.5117194006037642,0.1817968327798817,0.3045296111985142,0.5704824769284161,0.11900100248334909,62.92671120685734,68.07120318158894,35.49704017109867,21.662737102747084,3.57,3.49,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,75,74,75,77,77,76,76
Hungary,0.6763712887858334,0.10571739301008665,NA,NA,0.7512903963943689,0.08812968763606059,NA,NA,0.6721998723010295,0.31543238464942885,NA,NA,0.567238721693431,0.42972794516135127,NA,NA,0.7880363460868463,0.19903826778808892,NA,NA,0.31402059971391605,0.6859794002860841,NA,NA,0.24089246262337294,0.7581667712241987,NA,NA,0.30712650472536895,0.6922953537520746,NA,NA,0.1603318951101802,0.8393990370993737,NA,NA,0.14256928404681202,0.8552820804172735,NA,NA,0.034820476339416206,0.2665710121208349,0.6512421787648627,0.6849312830149517,0.22582719152315095,0.07098711347498908,0.5335128464670419,0.3096066026855226,0.12411577985375453,68.3825036332054,62.30002284940789,23.29881492439291,27.21741579252372,3.53,3.51,3.52,-0.43091627955436707,-0.4984564185142517,-0.06583016365766525,-0.16624628007411957,-0.5908812880516052,0.53216552734375,6.852991580963135,-0.057525794953107834,9.90573501586914,53.63177490234375,0.048750199377536774,0,0,0,0,1,0,0,0,0,0.236,0.34640608585244026,0.6126918792724609,2.1972246170043945,47.5,6.559473514556885,9.270565032958984,1,0,1.684999942779541,1.3883999586105347,80,5575.43017578125,2157.406494140625,1.7866400480270386,NA,0.2961500585079193,0.39218199253082275,-0.05023513361811638,0.004937818419421092,0.7400000095367432,58,80,82,0.1687414050102234,0,1,55,54,54,51,48,45,46,44
Iceland,0.6357339983781584,0.23038393384624373,NA,NA,0.5953394178426322,0.28982628321764536,NA,NA,0.8197745203143596,0.16011564717629326,NA,NA,0.6004872047936599,0.3988710090684938,NA,NA,0.8331643839816572,0.16333064894531046,NA,NA,0.31313095376806843,0.6868690462319315,NA,NA,0.30724235893995366,0.6927576410600463,NA,NA,0.4198870063041784,0.5801129936958216,NA,NA,0.1334354689810631,0.8624434592374592,NA,NA,0.09375656790252895,0.9051174492230729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.52371875875264,NA,25.349047117913457,NA,3.3,3.6,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,78,79,79,78,77,76,78
India,0.653836407999398,0.25197220835931927,0.8283964549290549,0.07772218342279474,0.716940915476266,0.20540349176015335,0.757409408739491,0.10314741829339101,0.6605391857204802,0.32384792260993767,0.7464825747322823,0.24173625263002452,0.5968836352111924,0.39815362670233484,0.6604148107866092,0.3343025468633233,0.6159458799708802,0.37793394538458547,0.7913731466910385,0.20637675682763937,0.4437241255681086,0.5524480210652696,0.2950353514334365,0.7002373874816928,0.5442578617671223,0.44937935959051323,0.3550024417170933,0.6414064735864948,0.31623289768878754,0.6727890034782296,0.24754114609505382,0.7453608627569487,0.4702145510924449,0.5210098443567915,0.2525808796835264,0.7424005275110379,0.3749594342133663,0.6200673333336564,0.29214383433067215,0.7004118118811867,0.07857191180843168,0.31229363587990927,0.5464867810709925,0.35025858891974887,0.3699430250641847,0.24238796077837693,0.25208965961578383,0.4045045902731763,0.3099895859941711,59.83544183636088,62.46762992140704,42.9877774065966,26.709707495917442,3.62,3.45,3.53,-0.10873283445835114,-0.27524739503860474,-0.4538295865058899,0.07119843363761902,-0.2676217555999756,-0.20398138463497162,4.834271430969238,-0.4348702132701874,23.031625747680664,97.08955383300781,0.3426149785518646,0.6564099788665771,0,0,0,0,1,0,0,0,0.015,1.012652021038878,0.4093441665172577,4.110873699188232,28.616666793823242,8.780726432800293,6.659878253936768,1,0,0.5835999846458435,0.12240000069141388,48,3325.2197265625,1415.553955078125,3.008582353591919,3.3509554862976074,0.3446025550365448,0.46681153774261475,-0.012739632278680801,0.0486299246094859,0.38999998569488525,51,48,40,0.011202706955373287,0,0,36,36,38,38,40,40,41,41
